claim,value,unit,currency,geography,segment,period,period_type,value_basis,source_name,url,date_accessed,confidence,notes
IN baby_child market_size,4.82,usd_bn,USD,IN,baby_child,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-baby-care-products-market,2026-07-25,LOW,"SCOPE CAVEAT: IMARC 'baby care products' spans baby skin care, baby hair care, baby toiletries (bath, fragrances, diapers, wipes) AND baby food & beverages. Baby food/beverages and diapers sit outside BPC scope, so this OVERSTATES the BPC baby & child segment; treat as an upper bound on a wider basket, not a BPC read. Organised/unorganised coverage not stated on the page. cf Maximize Market Research USD 14.17bn (2024) on a NARROWER basket (baby food explicitly excluded) — 2.9x higher despite covering less, an outright contradiction; definitional mismatch unresolved, do not average."
IN baby_child market_size,14.17,usd_bn,USD,IN,baby_child,2024,CY,RETAIL,Maximize Market Research,https://www.maximizemarketresearch.com/market-report/india-baby-care-product-market/122978/,2026-07-25,LOW,"SCOPE CAVEAT: covers body lotion, head-to-toe wash, diaper cream, massage oil, diapers & wipes, hair care and others. Baby food is EXPLICITLY EXCLUDED (page cites Indian regulation restricting baby-food promotion). Diapers & wipes are stated at 'over 35% of total market value in 2024', i.e. at least a third of this figure is outside BPC scope — a BPC-only read would be roughly two thirds of it, but the 35% is given as a floor so no derived figure is claimed here. Organised/unorganised coverage not stated. cf IMARC USD 4.82bn (2025) on a WIDER basket that includes baby food — 2.9x lower despite covering more; definitional mismatch unresolved, do not average."
IN baby_child cagr_forecast,9.17,percent,USD,IN,baby_child,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-baby-care-products-market,2026-07-25,LOW,"IMARC: USD 4.82bn (2025) to USD 10.62bn (2034), CAGR 9.17% 2026-2034. SCOPE CAVEAT: basket includes baby food & beverages and diapers/wipes, i.e. wider than BPC baby & child. Organised/unorganised coverage not stated. cf Maximize Market Research 14.35% (2024-2030) on a food-excluded basket — 1.6x gap, definitional mismatch unresolved, do not average."
IN baby_child cagr_forecast,14.35,percent,USD,IN,baby_child,2024-2030,range,NA,Maximize Market Research,https://www.maximizemarketresearch.com/market-report/india-baby-care-product-market/122978/,2026-07-25,LOW,"Maximize: 'CAGR 14.35% from 2024 to 2030'; the same page shows USD 14.17bn (2024) to almost USD 41.42bn (2032), so the stated CAGR period and the stated endpoint year do not line up — the CAGR is recorded as stated and the 2032 endpoint treated as suspect. SCOPE CAVEAT: baby food excluded, diapers & wipes (>35% of value) included. Organised/unorganised coverage not stated. cf IMARC 9.17% (2026-2034) — 1.6x gap, definitional mismatch unresolved, do not average."
IN baby_child growth_yoy,35.0,percent,INR,IN,baby_child,FY25,FY,NET_REALISATION,"dfupublications.com, quoting Rajesh Vohra (CEO, Chicco India / Artsana India), published 2025-12-31",https://www.dfupublications.com/index.php/news/apparel/chicco-india-eyes-50-store-milestone-as-baby-care-market-hits-4-9-billion,2026-07-25,MEDIUM,"SCOPE CAVEAT: company-level (Chicco India / Artsana India Pvt Ltd -- strollers, feeding, baby care products), not a category-wide India baby_child market figure. Direct quote: Operating since 2009, it recorded over 35 per cent growth last fiscal year (CEO Rajesh Vohra), with momentum well above 20 per cent in the current year also noted. Value recorded here (35.0%) is the stated floor/minimum -- source says over 35%, exact figure not disclosed, true growth may be higher. Period read as FY25 (Apr24-Mar25), the most recently completed full fiscal year as of the Dec-2025 publication date; source does not give an explicit date beyond last fiscal year. Organised, premium/imported baby-products segment only -- no unorganised-market read implied. A Tracxn profile (MCA filing based) for Artsana India Pvt Ltd was checked but only showed a revenue band (INR 100-500 Cr) in the free view, not exact FY24/FY25 figures, so no independent two-year same-source cross-check was possible; do not treat as corroborated by that source."
IN bath_shower market_size,1.8,usd_bn,USD,IN,bath_shower,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-bath-shower-products-market,2026-07-25,LOW,"SCOPE CAVEAT: IMARC states scope = bath soaps, body wash, bath additives, others (bar soap IS included). Organised/unorganised coverage not stated by the source. CONFLICT: IMARC's own separate India bath soap page puts bath soap ALONE at USD 3,406.3mn (2025) — 1.9x this whole-category figure, which is internally impossible if bath soap sits inside bath & shower products. Both recorded as separate claims; definitional mismatch unresolved, do not average."
IN bath_shower cagr_forecast,3.8,percent,USD,IN,bath_shower,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-bath-shower-products-market,2026-07-25,LOW,"IMARC: USD 1.8bn (2025) to USD 2.5bn (2034), CAGR 3.80% 2026-2034. Organised/unorganised coverage not stated. cf IMARC bath-soap-only page 4.88% over the same 2026-2034 window — see the conflicting market_size pair on this segment."
IN bath_shower market_size,3406.3,usd_mn,USD,IN,bath_shower,2025,CY,RETAIL,IMARC Group,https://www.imarcgroup.com/india-bath-soap-market,2026-07-25,LOW,"SCOPE CAVEAT: bath soap only (solid + liquid bath soaps, premium + mass); excludes bath additives. Organised/unorganised coverage not stated, though the source references kirana outlets and local shops alongside organised retail. CONFLICT: cf IMARC india-bath-shower-products-market USD 1.8bn (2025) for the WIDER category that IMARC itself says contains bath soaps — 1.9x gap in the wrong direction, definitional mismatch unresolved, do not average."
IN bath_shower cagr_forecast,4.88,percent,USD,IN,bath_shower,2026-2034,range,NA,IMARC Group,https://www.imarcgroup.com/india-bath-soap-market,2026-07-25,LOW,"SCOPE CAVEAT: bath soap only. IMARC: USD 3,406.3mn (2025) to USD 5,300.6mn (2034), CAGR 4.88% 2026-2034. Organised/unorganised coverage not stated. cf IMARC bath & shower products page 3.80% over the identical window."
IN bath_shower market_size,3.54,usd_bn,USD,IN,bath_shower,2024,CY,RETAIL,MarkNtel Advisors,https://www.marknteladvisors.com/press-release/india-bath-soap-market-size,2026-07-25,LOW,"SCOPE CAVEAT: bath soap only — beauty bars, baby soap, medicated soap, herbal soap and others; excludes body wash and bath additives. Organised/unorganised coverage not stated. Corroborates IMARC's bath-soap-only USD 3,406.3mn (2025) within ~4% and therefore reinforces that IMARC's wider 'bath & shower products' USD 1.8bn (2025) is the outlier, not the soap figures. Do not average across the two definitions."
